Day,Hour,Estimated_Busyness_Percentage
Monday,8:00 AM,10
Monday,9:00 AM,15
Monday,10:00 AM,20
Monday,11:00 AM,20
Monday,12:00 PM,20
Monday,1:00 PM,18
Monday,2:00 PM,18
Monday,3:00 PM,22
Monday,4:00 PM,25
Monday,5:00 PM,30
Monday,6:00 PM,30
Monday,7:00 PM,32
Monday,8:00 PM,28
Monday,9:00 PM,22
Monday,10:00 PM,15
Tuesday,3:00 PM,15
Tuesday,4:00 PM,20
Tuesday,5:00 PM,30
Tuesday,6:00 PM,45
Tuesday,7:00 PM,60
Tuesday,8:00 PM,58
Wednesday,8:00 AM,15
Wednesday,9:00 AM,18
Wednesday,10:00 AM,25
Wednesday,11:00 AM,25
Wednesday,12:00 PM,22
Wednesday,1:00 PM,20
Wednesday,2:00 PM,20
Wednesday,3:00 PM,25
Wednesday,4:00 PM,30
Wednesday,5:00 PM,35
Wednesday,6:00 PM,40
Wednesday,7:00 PM,38
Wednesday,8:00 PM,30
Wednesday,9:00 PM,20
Thursday,8:00 AM,12
Thursday,9:00 AM,18
Thursday,10:00 AM,22
Thursday,11:00 AM,25
Thursday,12:00 PM,22
Thursday,1:00 PM,20
Thursday,2:00 PM,20
Thursday,3:00 PM,22
Thursday,4:00 PM,30
Thursday,5:00 PM,45
Thursday,6:00 PM,55
Thursday,7:00 PM,60
Thursday,8:00 PM,50
Thursday,9:00 PM,35
Thursday,10:00 PM,25
Friday,8:00 AM,10
Friday,9:00 AM,12
Friday,10:00 AM,15
Friday,11:00 AM,15
Friday,12:00 PM,18
Friday,1:00 PM,20
Friday,2:00 PM,22
Friday,3:00 PM,30
Friday,4:00 PM,45
Friday,5:00 PM,60
Friday,6:00 PM,50
Saturday,11:00 AM,20
Saturday,12:00 PM,18
Saturday,1:00 PM,15
Saturday,2:00 PM,15
Saturday,3:00 PM,18
Saturday,4:00 PM,20
Saturday,5:00 PM,18
Saturday,6:00 PM,15
Sunday,11:00 AM,45
Sunday,12:00 PM,40
Sunday,1:00 PM,30
Sunday,2:00 PM,25
Sunday,3:00 PM,22
Sunday,4:00 PM,20
Sunday,5:00 PM,18
Sunday,6:00 PM,15
Sunday,7:00 PM,15
Sunday,8:00 PM,15
