Day,Hour,Estimated_Busyness_Percentage
Monday,9:00 AM,25
Monday,10:00 AM,28
Monday,11:00 AM,28
Monday,12:00 PM,28
Monday,1:00 PM,28
Monday,2:00 PM,30
Monday,3:00 PM,45
Monday,4:00 PM,55
Monday,5:00 PM,85
Monday,6:00 PM,90
Monday,7:00 PM,88
Monday,8:00 PM,65
Monday,9:00 PM,45
Monday,10:00 PM,35
Tuesday,11:00 AM,35
Tuesday,12:00 PM,30
Tuesday,1:00 PM,30
Tuesday,2:00 PM,30
Tuesday,3:00 PM,38
Tuesday,4:00 PM,50
Tuesday,5:00 PM,75
Tuesday,6:00 PM,85
Tuesday,7:00 PM,80
Tuesday,8:00 PM,70
Wednesday,9:00 AM,25
Wednesday,10:00 AM,32
Wednesday,11:00 AM,35
Wednesday,12:00 PM,35
Wednesday,1:00 PM,32
Wednesday,2:00 PM,32
Wednesday,3:00 PM,38
Wednesday,4:00 PM,55
Wednesday,5:00 PM,78
Wednesday,6:00 PM,95
Wednesday,7:00 PM,90
Wednesday,8:00 PM,70
Wednesday,9:00 PM,48
Wednesday,10:00 PM,35
Thursday,9:00 AM,30
Thursday,10:00 AM,35
Thursday,11:00 AM,38
Thursday,12:00 PM,35
Thursday,1:00 PM,35
Thursday,2:00 PM,40
Thursday,3:00 PM,45
Thursday,4:00 PM,60
Thursday,5:00 PM,80
Thursday,6:00 PM,90
Thursday,7:00 PM,80
Thursday,8:00 PM,65
Thursday,9:00 PM,55
Thursday,10:00 PM,35
Friday,7:00 AM,20
Friday,8:00 AM,25
Friday,9:00 AM,30
Friday,10:00 AM,35
Friday,11:00 AM,45
Friday,12:00 PM,48
Friday,1:00 PM,45
Friday,2:00 PM,42
Friday,3:00 PM,45
Friday,4:00 PM,55
Friday,5:00 PM,70
Friday,6:00 PM,75
Friday,7:00 PM,70
Friday,8:00 PM,45
Saturday,11:00 AM,40
Saturday,12:00 PM,45
Saturday,1:00 PM,48
Saturday,2:00 PM,48
Saturday,3:00 PM,55
Saturday,4:00 PM,58
Saturday,5:00 PM,55
Saturday,6:00 PM,45
Sunday,11:00 AM,40
Sunday,12:00 PM,45
Sunday,1:00 PM,48
Sunday,2:00 PM,52
Sunday,3:00 PM,55
Sunday,4:00 PM,60
Sunday,5:00 PM,55
Sunday,6:00 PM,45
