Day,Hour,Estimated_Busyness_Percentage
Monday,7:00 AM,15
Monday,8:00 AM,25
Monday,9:00 AM,28
Monday,10:00 AM,23
Monday,11:00 AM,20
Monday,12:00 PM,20
Monday,1:00 PM,25
Monday,2:00 PM,25
Monday,3:00 PM,35
Monday,4:00 PM,50
Monday,5:00 PM,70
Monday,6:00 PM,85
Monday,7:00 PM,90
Monday,8:00 PM,80
Monday,9:00 PM,80
Monday,10:00 PM,55
Tuesday,11:00 AM,25
Tuesday,12:00 PM,30
Tuesday,1:00 PM,28
Tuesday,2:00 PM,32
Tuesday,3:00 PM,45
Tuesday,4:00 PM,60
Tuesday,5:00 PM,75
Tuesday,6:00 PM,75
Tuesday,7:00 PM,65
Tuesday,8:00 PM,45
Wednesday,7:00 AM,20
Wednesday,8:00 AM,18
Wednesday,9:00 AM,20
Wednesday,10:00 AM,20
Wednesday,11:00 AM,23
Wednesday,12:00 PM,20
Wednesday,1:00 PM,20
Wednesday,2:00 PM,20
Wednesday,3:00 PM,30
Wednesday,4:00 PM,45
Wednesday,5:00 PM,70
Wednesday,6:00 PM,85
Wednesday,7:00 PM,80
Wednesday,8:00 PM,65
Wednesday,9:00 PM,45
Wednesday,10:00 PM,35
Thursday,7:00 AM,25
Thursday,8:00 AM,23
Thursday,9:00 AM,20
Thursday,10:00 AM,18
Thursday,11:00 AM,22
Thursday,12:00 PM,25
Thursday,1:00 PM,30
Thursday,2:00 PM,35
Thursday,3:00 PM,45
Thursday,4:00 PM,65
Thursday,5:00 PM,75
Thursday,6:00 PM,80
Thursday,7:00 PM,78
Thursday,8:00 PM,75
Thursday,9:00 PM,75
Thursday,10:00 PM,60
Friday,7:00 AM,15
Friday,8:00 AM,25
Friday,9:00 AM,35
Friday,10:00 AM,40
Friday,11:00 AM,42
Friday,12:00 PM,38
Friday,1:00 PM,35
Friday,2:00 PM,40
Friday,3:00 PM,42
Friday,4:00 PM,55
Friday,5:00 PM,60
Friday,6:00 PM,65
Friday,7:00 PM,55
Friday,8:00 PM,40
Saturday,11:00 AM,55
Saturday,12:00 PM,60
Saturday,1:00 PM,55
Saturday,2:00 PM,45
Saturday,3:00 PM,40
Saturday,4:00 PM,45
Saturday,5:00 PM,42
Saturday,6:00 PM,40
Sunday,11:00 AM,55
Sunday,12:00 PM,50
Sunday,1:00 PM,45
Sunday,2:00 PM,40
Sunday,3:00 PM,42
Sunday,4:00 PM,40
Sunday,5:00 PM,45
Sunday,6:00 PM,45
Sunday,7:00 PM,45
Sunday,8:00 PM,35
