Location,Day,Hour,Estimated_Busyness_Percentage
College Avenue Gym,Monday,7:00 AM,15
College Avenue Gym,Monday,8:00 AM,25
College Avenue Gym,Monday,9:00 AM,28
College Avenue Gym,Monday,10:00 AM,23
College Avenue Gym,Monday,11:00 AM,20
College Avenue Gym,Monday,12:00 PM,20
College Avenue Gym,Monday,1:00 PM,25
College Avenue Gym,Monday,2:00 PM,25
College Avenue Gym,Monday,3:00 PM,35
College Avenue Gym,Monday,4:00 PM,50
College Avenue Gym,Monday,5:00 PM,70
College Avenue Gym,Monday,6:00 PM,85
College Avenue Gym,Monday,7:00 PM,90
College Avenue Gym,Monday,8:00 PM,80
College Avenue Gym,Monday,9:00 PM,80
College Avenue Gym,Monday,10:00 PM,55
College Avenue Gym,Tuesday,11:00 AM,25
College Avenue Gym,Tuesday,12:00 PM,30
College Avenue Gym,Tuesday,1:00 PM,28
College Avenue Gym,Tuesday,2:00 PM,32
College Avenue Gym,Tuesday,3:00 PM,45
College Avenue Gym,Tuesday,4:00 PM,60
College Avenue Gym,Tuesday,5:00 PM,75
College Avenue Gym,Tuesday,6:00 PM,75
College Avenue Gym,Tuesday,7:00 PM,65
College Avenue Gym,Tuesday,8:00 PM,45
College Avenue Gym,Wednesday,7:00 AM,20
College Avenue Gym,Wednesday,8:00 AM,18
College Avenue Gym,Wednesday,9:00 AM,20
College Avenue Gym,Wednesday,10:00 AM,20
College Avenue Gym,Wednesday,11:00 AM,23
College Avenue Gym,Wednesday,12:00 PM,20
College Avenue Gym,Wednesday,1:00 PM,20
College Avenue Gym,Wednesday,2:00 PM,20
College Avenue Gym,Wednesday,3:00 PM,30
College Avenue Gym,Wednesday,4:00 PM,45
College Avenue Gym,Wednesday,5:00 PM,70
College Avenue Gym,Wednesday,6:00 PM,85
College Avenue Gym,Wednesday,7:00 PM,80
College Avenue Gym,Wednesday,8:00 PM,65
College Avenue Gym,Wednesday,9:00 PM,45
College Avenue Gym,Wednesday,10:00 PM,35
College Avenue Gym,Thursday,7:00 AM,25
College Avenue Gym,Thursday,8:00 AM,23
College Avenue Gym,Thursday,9:00 AM,20
College Avenue Gym,Thursday,10:00 AM,18
College Avenue Gym,Thursday,11:00 AM,22
College Avenue Gym,Thursday,12:00 PM,25
College Avenue Gym,Thursday,1:00 PM,30
College Avenue Gym,Thursday,2:00 PM,35
College Avenue Gym,Thursday,3:00 PM,45
College Avenue Gym,Thursday,4:00 PM,65
College Avenue Gym,Thursday,5:00 PM,75
College Avenue Gym,Thursday,6:00 PM,80
College Avenue Gym,Thursday,7:00 PM,78
College Avenue Gym,Thursday,8:00 PM,75
College Avenue Gym,Thursday,9:00 PM,75
College Avenue Gym,Thursday,10:00 PM,60
College Avenue Gym,Friday,7:00 AM,15
College Avenue Gym,Friday,8:00 AM,25
College Avenue Gym,Friday,9:00 AM,35
College Avenue Gym,Friday,10:00 AM,40
College Avenue Gym,Friday,11:00 AM,42
College Avenue Gym,Friday,12:00 PM,38
College Avenue Gym,Friday,1:00 PM,35
College Avenue Gym,Friday,2:00 PM,40
College Avenue Gym,Friday,3:00 PM,42
College Avenue Gym,Friday,4:00 PM,55
College Avenue Gym,Friday,5:00 PM,60
College Avenue Gym,Friday,6:00 PM,65
College Avenue Gym,Friday,7:00 PM,55
