gym_name,day_of_week,hour,busyness_percent,hour_24,is_weekend,semester_week,is_exam_week,weather,capacity_label
College Avenue Gym,Monday,7:00 AM,15,7,False,1,False,rain,Low
College Avenue Gym,Monday,8:00 AM,25,8,False,1,False,rain,Low
College Avenue Gym,Monday,9:00 AM,28,9,False,1,False,rain,Low
College Avenue Gym,Monday,10:00 AM,23,10,False,1,False,rain,Low
College Avenue Gym,Monday,11:00 AM,20,11,False,1,False,rain,Low
College Avenue Gym,Monday,12:00 PM,20,12,False,1,False,rain,Low
College Avenue Gym,Monday,1:00 PM,25,13,False,1,False,rain,Low
College Avenue Gym,Monday,2:00 PM,25,14,False,1,False,rain,Low
College Avenue Gym,Monday,3:00 PM,35,15,False,1,False,rain,Low
College Avenue Gym,Monday,4:00 PM,50,16,False,1,False,rain,Medium
College Avenue Gym,Monday,5:00 PM,70,17,False,1,False,rain,High
College Avenue Gym,Monday,6:00 PM,85,18,False,1,False,rain,High
College Avenue Gym,Monday,7:00 PM,90,19,False,1,False,rain,High
College Avenue Gym,Monday,8:00 PM,80,20,False,1,False,rain,High
College Avenue Gym,Monday,9:00 PM,80,21,False,1,False,rain,High
College Avenue Gym,Monday,10:00 PM,55,22,False,1,False,rain,Medium
College Avenue Gym,Tuesday,11:00 AM,25,11,False,1,False,clear,Low
College Avenue Gym,Tuesday,12:00 PM,30,12,False,1,False,clear,Low
College Avenue Gym,Tuesday,1:00 PM,28,13,False,1,False,clear,Low
College Avenue Gym,Tuesday,2:00 PM,32,14,False,1,False,clear,Low
College Avenue Gym,Tuesday,3:00 PM,45,15,False,1,False,clear,Medium
College Avenue Gym,Tuesday,4:00 PM,60,16,False,1,False,clear,Medium
College Avenue Gym,Tuesday,5:00 PM,75,17,False,1,False,clear,High
College Avenue Gym,Tuesday,6:00 PM,75,18,False,1,False,clear,High
College Avenue Gym,Tuesday,7:00 PM,65,19,False,1,False,clear,Medium
College Avenue Gym,Tuesday,8:00 PM,45,20,False,2,False,clear,Medium
College Avenue Gym,Wednesday,7:00 AM,20,7,False,2,False,rain,Low
College Avenue Gym,Wednesday,8:00 AM,18,8,False,2,False,rain,Low
College Avenue Gym,Wednesday,9:00 AM,20,9,False,2,False,rain,Low
College Avenue Gym,Wednesday,10:00 AM,20,10,False,2,False,rain,Low
College Avenue Gym,Wednesday,11:00 AM,23,11,False,2,False,rain,Low
College Avenue Gym,Wednesday,12:00 PM,20,12,False,2,False,rain,Low
College Avenue Gym,Wednesday,1:00 PM,20,13,False,2,False,rain,Low
College Avenue Gym,Wednesday,2:00 PM,20,14,False,2,False,rain,Low
College Avenue Gym,Wednesday,3:00 PM,30,15,False,2,False,rain,Low
College Avenue Gym,Wednesday,4:00 PM,45,16,False,2,False,rain,Medium
College Avenue Gym,Wednesday,5:00 PM,70,17,False,2,False,rain,High
College Avenue Gym,Wednesday,6:00 PM,85,18,False,2,False,rain,High
College Avenue Gym,Wednesday,7:00 PM,80,19,False,2,False,rain,High
College Avenue Gym,Wednesday,8:00 PM,65,20,False,2,False,rain,Medium
College Avenue Gym,Wednesday,9:00 PM,45,21,False,2,False,rain,Medium
College Avenue Gym,Wednesday,10:00 PM,35,22,False,2,False,rain,Low
College Avenue Gym,Thursday,7:00 AM,25,7,False,2,False,clear,Low
College Avenue Gym,Thursday,8:00 AM,23,8,False,2,False,clear,Low
College Avenue Gym,Thursday,9:00 AM,20,9,False,2,False,clear,Low
College Avenue Gym,Thursday,10:00 AM,18,10,False,2,False,clear,Low
College Avenue Gym,Thursday,11:00 AM,22,11,False,2,False,clear,Low
College Avenue Gym,Thursday,12:00 PM,25,12,False,2,False,clear,Low
College Avenue Gym,Thursday,1:00 PM,30,13,False,2,False,clear,Low
College Avenue Gym,Thursday,2:00 PM,35,14,False,2,False,clear,Low
College Avenue Gym,Thursday,3:00 PM,45,15,False,3,False,clear,Medium
College Avenue Gym,Thursday,4:00 PM,65,16,False,3,False,clear,Medium
College Avenue Gym,Thursday,5:00 PM,75,17,False,3,False,clear,High
College Avenue Gym,Thursday,6:00 PM,80,18,False,3,False,clear,High
College Avenue Gym,Thursday,7:00 PM,78,19,False,3,False,clear,High
College Avenue Gym,Thursday,8:00 PM,75,20,False,3,False,clear,High
College Avenue Gym,Thursday,9:00 PM,75,21,False,3,False,clear,High
College Avenue Gym,Thursday,10:00 PM,60,22,False,3,False,clear,Medium
College Avenue Gym,Friday,7:00 AM,15,7,False,3,False,clear,Low
College Avenue Gym,Friday,8:00 AM,25,8,False,3,False,clear,Low
College Avenue Gym,Friday,9:00 AM,35,9,False,3,False,clear,Low
College Avenue Gym,Friday,10:00 AM,40,10,False,3,False,clear,Medium
College Avenue Gym,Friday,11:00 AM,42,11,False,3,False,clear,Medium
College Avenue Gym,Friday,12:00 PM,38,12,False,3,False,clear,Low
College Avenue Gym,Friday,1:00 PM,35,13,False,3,False,clear,Low
College Avenue Gym,Friday,2:00 PM,40,14,False,3,False,clear,Medium
College Avenue Gym,Friday,3:00 PM,42,15,False,3,False,clear,Medium
College Avenue Gym,Friday,4:00 PM,55,16,False,3,False,clear,Medium
College Avenue Gym,Friday,5:00 PM,60,17,False,3,False,clear,Medium
College Avenue Gym,Friday,6:00 PM,65,18,False,3,False,clear,Medium
College Avenue Gym,Friday,7:00 PM,55,19,False,3,False,clear,Medium
College Avenue Gym,Friday,8:00 PM,40,20,False,3,False,clear,Medium
College Avenue Gym,Saturday,11:00 AM,55,11,True,3,False,clear,Medium
College Avenue Gym,Saturday,12:00 PM,60,12,True,3,False,clear,Medium
College Avenue Gym,Saturday,1:00 PM,55,13,True,3,False,clear,Medium
College Avenue Gym,Saturday,2:00 PM,45,14,True,4,False,clear,Medium
College Avenue Gym,Saturday,3:00 PM,40,15,True,4,False,clear,Medium
College Avenue Gym,Saturday,4:00 PM,45,16,True,4,False,clear,Medium
College Avenue Gym,Saturday,5:00 PM,42,17,True,4,False,clear,Medium
College Avenue Gym,Saturday,6:00 PM,40,18,True,4,False,clear,Medium
College Avenue Gym,Sunday,11:00 AM,55,11,True,4,False,clear,Medium
College Avenue Gym,Sunday,12:00 PM,50,12,True,4,False,clear,Medium
College Avenue Gym,Sunday,1:00 PM,45,13,True,4,False,clear,Medium
College Avenue Gym,Sunday,2:00 PM,40,14,True,4,False,clear,Medium
College Avenue Gym,Sunday,3:00 PM,42,15,True,4,False,clear,Medium
